plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
77,113.05,34.01,Henan,Central_South_China,0.20114,-0.077,35.80727
499,117.1,35.44,Shandong,East_China,0.083576,-0.06,35.890846
54,118.7,35.59,Shandong,East_China,0.211606,-0.052,36.102452
39,116.65,34.68,Jiangsu,East_China,0.227807,0.074,36.330259
72,117.48,36.96,Shandong,East_China,0.202606,0.137,36.532865
132,116.17,35.19,Shandong,East_China,0.165256,0.243,36.698121
344,115.72,29.44,Jiangxi,East_China,0.099044,0.348,36.797165
38,113.65,35.28,Henan,Central_South_China,0.229496,0.559,37.026661
267,117.59,32.1,Anhui,East_China,0.11953,0.751,37.146191
314,116.6,38.27,Hebei,North_China,0.113663,0.761,37.259854
323,114.86,27.3,Jiangxi,East_China,0.10135,0.829,37.361204
29,116.17,34.84,Shandong,East_China,0.247558,0.877,37.608762
405,116.19,29.65,Jiangxi,East_China,0.091684,0.922,37.700446
289,111.94,27.27,Hunan,Central_South_China,0.111736,1.048,37.812182
500,122.88,39.85,Liaoning,Northeast_China,0.084178,1.095,37.89636
76,118.77,35.1,Shandong,East_China,0.20173,1.194,38.09809
152,114.99,30.84,Hubei,Central_South_China,0.146419,1.359,38.244509
389,114.44,29.96,Hubei,Central_South_China,0.094195,1.439,38.338704
493,116.11,38.98,Hebei,North_China,0.086499,1.454,38.425203
55,116.57,36.64,Shandong,East_China,0.218018,1.858,38.643221
57,113.64,31.04,Hubei,Central_South_China,0.204063,1.866,38.847284
463,115.44,30.89,Hubei,Central_South_China,0.086499,2.01,38.933783
59,115.26,32.32,Henan,Central_South_China,0.202865,2.168,39.136648
158,112,30.71,Hubei,Central_South_China,0.146483,2.177,39.283131
165,116.87,28.84,Jiangxi,East_China,0.13859,2.215,39.421721
46,115.96,32.91,Anhui,East_China,0.226242,2.478,39.647963
14,114.95,35.94,Henan,Central_South_China,0.253932,2.493,39.901895
474,112.98,34.49,Henan,Central_South_China,0.08579,2.647,39.987685
19,114.95,34.28,Henan,Central_South_China,0.248492,2.76,40.236177
169,113.33,34.45,Henan,Central_South_China,0.146172,3.284,40.382349
273,116.08,38.51,Hebei,North_China,0.124661,3.477,40.50701
380,115.74,28.24,Jiangxi,East_China,0.094635,3.57,40.601645
226,118.81,33.66,Jiangsu,East_China,0.128772,3.996,40.730417
459,122.05,45.96,Inner Mongolia,North_China,0.094041,4.244,40.824458
454,116.16,30.25,Anhui,East_China,0.084771,4.404,40.909229
333,115.81,34.58,Shandong,East_China,0.109705,4.437,41.018934
159,118.24,35.44,Shandong,East_China,0.152184,4.473,41.171118
6,115.67,36.05,Shandong,East_China,0.273016,4.553,41.444134
235,116.19,37.99,Hebei,North_China,0.134703,4.563,41.578837
420,117.15,34.67,Shandong,East_China,0.091193,4.69,41.67003
244,122.72,42.25,Liaoning,Northeast_China,0.133769,4.696,41.803799
142,116.75,37.72,Shandong,East_China,0.162905,4.7,41.966704
402,126.1,45.94,Heilongjiang,Northeast_China,0.101257,4.722,42.067961
224,118.85,35.94,Shandong,East_China,0.132475,4.865,42.200436
107,112.64,34.26,Henan,Central_South_China,0.176091,5.084,42.376527
150,115.37,37,Hebei,North_China,0.156846,5.216,42.533373
372,113.61,32.82,Henan,Central_South_China,0.101642,5.273,42.635015
258,112.97,29.68,Hunan,Central_South_China,0.123192,5.474,42.758207
124,117.22,32.45,Anhui,East_China,0.162337,5.681,42.920544
349,118.43,31.13,Anhui,East_China,0.099676,5.75,43.02022
284,114.03,30.95,Hubei,Central_South_China,0.115192,5.884,43.135412
214,117.75,35.76,Shandong,East_China,0.135925,5.915,43.271337
119,114.02,35.25,Henan,Central_South_China,0.169518,5.956,43.440855
100,113.69,30.58,Hubei,Central_South_China,0.17287,6.039,43.613725
181,111.91,30.14,Hubei,Central_South_China,0.142764,6.09,43.756489
328,123.22,42.26,Liaoning,Northeast_China,0.113064,6.121,43.869553
111,118.88,36.33,Shandong,East_China,0.174767,6.125,44.04432
225,112.5,30.94,Hubei,Central_South_China,0.129154,6.223,44.173474
163,119.16,35.37,Shandong,East_China,0.149856,6.25,44.32333
49,115.35,35.67,Henan,Central_South_China,0.218242,6.302,44.541572
421,113.88,29.69,Hubei,Central_South_China,0.091415,6.457,44.632987
382,118.74,37.78,Shandong,East_China,0.1035,6.505,44.736487
334,113.23,30.98,Hubei,Central_South_China,0.104021,6.554,44.840508
279,118.37,35.93,Shandong,East_China,0.122227,6.588,44.962735
12,114.95,34.78,Henan,Central_South_China,0.269141,6.636,45.231876
31,112.32,32.68,Henan,Central_South_China,0.244313,6.646,45.476189
337,115.95,35.83,Shandong,East_China,0.106681,6.76,45.58287
276,116.92,32.05,Anhui,East_China,0.116534,6.8,45.699404
156,114.82,37.18,Hebei,North_China,0.154497,7.06,45.853901
302,116.45,31.95,Anhui,East_China,0.111219,7.169,45.96512
487,114.42,37.45,Hebei,North_China,0.086077,7.187,46.051197
457,113,32.02,Hubei,Central_South_China,0.087098,7.259,46.138295
275,122.72,41,Liaoning,Northeast_China,0.121678,7.271,46.259973
177,113.89,31.47,Hubei,Central_South_China,0.141646,7.394,46.401619
68,120.04,33.45,Jiangsu,East_China,0.198737,7.5,46.600356
356,112.39,30.48,Hubei,Central_South_China,0.099491,7.554,46.699847
40,111.91,32.98,Henan,Central_South_China,0.234648,7.609,46.934495
202,117.25,38.07,Hebei,North_China,0.141028,7.654,47.075523
50,120.5,36.83,Shandong,East_China,0.21852,7.735,47.294043
383,115.7,37.76,Hebei,North_China,0.102445,7.744,47.396488
23,112.77,33.01,Henan,Central_South_China,0.248508,7.783,47.644996
154,116.42,34.4,Anhui,East_China,0.15518,7.851,47.800176
9,115.43,34.16,Henan,Central_South_China,0.277733,7.995,48.077909
58,115.42,34.63,Henan,Central_South_China,0.216279,8.002,48.294188
141,112.57,32.12,Hubei,Central_South_China,0.153832,8.081,48.44802
213,116.13,32.46,Anhui,East_China,0.133435,8.525,48.581455
438,112.33,34.9,Henan,Central_South_China,0.091682,8.562,48.673137
324,117.58,35.35,Shandong,East_China,0.110198,8.752,48.783335
236,115.83,37.41,Hebei,North_China,0.135994,8.968,48.919329
108,115.9,36.94,Shandong,East_China,0.179426,9.057,49.098755
310,123.98,42.78,Liaoning,Northeast_China,0.117736,9.121,49.216491
112,119.56,33.62,Jiangsu,East_China,0.170219,9.233,49.38671
48,115.53,33.25,Anhui,East_China,0.227622,9.261,49.614332
51,113.94,33.1,Henan,Central_South_China,0.22018,9.362,49.834512
84,117.87,34.11,Jiangsu,East_China,0.185507,9.366,50.020019
69,116.76,35.76,Shandong,East_China,0.204849,9.63,50.224868
176,116.65,36.17,Shandong,East_China,0.147309,9.653,50.372177
216,118.59,37.23,Shandong,East_China,0.13576,9.708,50.507937
233,116.66,35.29,Shandong,East_China,0.13085,9.757,50.638787
62,119.31,36.14,Shandong,East_China,0.210211,9.76,50.848998
260,112.03,29.14,Hunan,Central_South_China,0.120956,9.859,50.969954
32,114.51,33.43,Henan,Central_South_China,0.240873,9.866,51.210827
390,117.03,38.53,Hebei,North_China,0.101487,10.108,51.312314
211,112.19,29.65,Hubei,Central_South_China,0.131254,10.243,51.443568
52,116.28,35.61,Shandong,East_China,0.220242,10.331,51.66381
129,119.41,36.79,Shandong,East_China,0.165855,10.615,51.829665
343,122.78,45.55,Jilin,Northeast_China,0.105468,10.677,51.935133
365,122.3,39.63,Liaoning,Northeast_China,0.105162,10.836,52.040295
446,125.52,45.91,Heilongjiang,Northeast_China,0.09642,11.127,52.136715
414,117.19,31.07,Anhui,East_China,0.090092,11.303,52.226807
277,117.41,36.17,Shandong,East_China,0.124758,11.395,52.351565
